Abbreviation,Antibiotic Name,Antibiotic Name German,Full Name,Class,Mechanism_of_action,Source,Source_URL,WHO_Match,Match_Type,WHO_Class,WHO_ATC_code,Category,Listed_on_EML_2019,Broad Class
ECO,Econazol,ECO - Econazol,ECO - Econazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
EMB,Ethambutol,EMB - Ethambutol,EMB - Ethambutol,Other Class,Inhibits arabinosyl transferase (mycobacterial cell wall),Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
ENO,Enoxacin,ENO - Enoxacin,ENO - Enoxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Enoxacin,PERFECT,Fluoroquinolones,J01MA04,Watch,No,Fluoroquinolone
ESBL,Extended ß-Lactamase,ESBL - Extended ß-Lactamase,ESBL - Extended ß-Lactamase,Other Class,Enzyme that hydrolyzes β-lactams (not an antibiotic),Microbiology Textbooks,https://www.ncbi.nlm.nih.gov/books/NBK513297/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
ETH,Ethionamid,ETH - Ethionamid,ETH - Ethionamid,Other Class,Disrupts mycolic acid synthesis (mycobacterial),Tuberculosis Treatment,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
FLE,Fleroxacillin,FLE - Fleroxacillin,FLE - Fleroxacillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Stewardship Review,https://academic.oup.com/cid/article/63/5/e61/2632539,Fleroxacin,FUZZY(0.87),Fluoroquinolones,J01MA08,Watch,No,β-lactam
FRA,Framycetin,FRA - Framycetin,FRA - Framycetin,Aminoglycoside,Binds to 30S ribosomal subunit,Topical Antibiotic Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
GAT,Gatifloxacin,GAT - Gatifloxacin,GAT - Gatifloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Gatifloxacin,PERFECT,Fluoroquinolones,J01MA16,Watch,No,Fluoroquinolone
GEM,Gemifloxacin,GEM - Gemifloxacin,GEM - Gemifloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Antimicrobial Agents Journal,https://aac.asm.org/content/63/4/e02087-18,Gemifloxacin,PERFECT,Fluoroquinolones,J01MA15,Watch,No,Fluoroquinolone
GRE,Grepafloxacin,GRE - Grepafloxacin,GRE - Grepafloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Historical Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Grepafloxacin,PERFECT,Fluoroquinolones,J01MA11,Watch,No,Fluoroquinolone
INH,Isoniazid,INH - Isoniazid,INH - Isoniazid,Other Class,Inhibits mycolic acid synthesis (mycobacterial),Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
ISE,Isepamicin,ISE - Isepamicin,ISE - Isepamicin,Aminoglycoside,Binds to 30S ribosomal subunit,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Isepamicin,PERFECT,Aminoglycosides,J01GB11,Watch,No,Aminoglycoside
ISO,Isooxazolylpenicillin,ISO - Isooxazolylpenicillin,ISO - Isooxazolylpenicillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Antibiotic Classification Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,β-lactam
JOS,Josamycin,JOS - Josamycin,JOS - Josamycin,Macrolide,Binds to 50S ribosomal subunit,Respiratory Infection References,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Josamycin,PERFECT,Macrolides,J01FA07,Watch,No,Macrolide
KET,Ketoconazol,KET - Ketoconazol,KET - Ketoconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
KHL,Kanamycin (high level),KHL - Kanamycin (high level),KHL - Kanamycin (high level),Aminoglycoside,High-dose ribosomal binding,Specialized Protocols,https://www.ncbi.nlm.nih.gov/books/NBK430906/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
LAM,Lampren,LAM - Lampren,LAM - Lampren,Other Class,Antileprosy agent (mechanism unclear),Leprosy Treatment Guides,https://www.ncbi.nlm.nih.gov/books/NBK551507/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
LMO,Latamofex,LMO - Latamofex,LMO - Latamofex,Other Class,,Mechanism/class not well-documented,,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
LOR,Loracarbef,LOR - Loracarbef,LOR - Loracarbef,Carbacephem (β-lactam),Cell wall synthesis inhibition,Clinical Microbiology Reviews,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Loracarbef,PERFECT,Second-generation-cephalosporins,J01DC08,Watch,No,β-lactam
MAR,Marbofloxacin,MAR - Marbofloxacin,MAR - Marbofloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Veterinary Medicine Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Ofloxacin,FUZZY(0.82),Fluoroquinolones,J01MA01,Watch,No,Fluoroquinolone
MCL,Mecillinam,MCL - Mecillinam,MCL - Mecillinam,Penicillin (β-lactam),Targets PBP2 (cell wall synthesis),EUCAST UTI Guidelines,https://www.eucast.org/guidelines-documents/,Mecillinam,PERFECT,Penicillins ,J01CA11,Access,No,β-lactam
MCZ,Miconazol,MCZ - Miconazol,MCZ - Miconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
MET,Methicillin,MET - Methicillin,MET - Methicillin,Penicillin (β-lactam),Cell wall synthesis inhibition,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Meticillin,FUZZY(0.95),Penicillins ,J01CF03,Access,Yes (therapeutic alternative to cloxacillin),β-lactam
MID,Midekamycin,MID - Midekamycin,MID - Midekamycin,Macrolide,Binds to 50S ribosomal subunit,Respiratory Infection Studies,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Midecamycin,FUZZY(0.91),Macrolides,J01FA03,Watch,No,Macrolide
MZS,Sulbactam/Mezlocillin,MZS - Sulbactam/Mezlocillin,MZS - Sulbactam/Mezlocillin,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Hospital Protocols,https://www.ashp.org/-/media/assets/pharmacy-practice/resource-centers/guidelines/sample-adult-empiric-antimicrobial-guide.ashx,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,β-lactam
NYS,Nystatin,NYS - Nystatin,NYS - Nystatin,Polyene,Binds ergosterol (fungal membrane disruption),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Polyene
OLE,Oleandomycin,OLE - Oleandomycin,OLE - Oleandomycin,Macrolide,Binds to 50S ribosomal subunit,Historical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Oleandomycin,PERFECT,Macrolides,J01FA05,Watch,No,Macrolide
PAN,Panipenem,PAN - Panipenem,PAN - Panipenem,Carbapenem (β-lactam),Cell wall synthesis inhibition,Japanese Antibiotic Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Panipenem,PERFECT,Carbapenems,J01DH55,Watch,No,β-lactam
PAR,Paromycin,PAR - Paromycin,PAR - Paromycin,Aminoglycoside,Binds to 30S ribosomal subunit,Antiprotozoal References,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Aminoglycoside
PAS,p-Aminosalicylic acid,PAS - p-Aminosalicylsaeure,PAS - p-Aminosalicylic acid,Other Class,Inhibits folate synthesis (mycobacterial),Tuberculosis Treatment,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
PEF,Perfloxacin,PEF - Perfloxacin,PEF - Perfloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Historical Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Pefloxacin,FUZZY(0.95),Fluoroquinolones,J01MA03,Watch,No,Fluoroquinolone
PIV,Pivampicillin,PIV - Pivampicillin,PIV - Pivampicillin,Penicillin (β-lactam),Prodrug of ampicillin,Pharmacokinetic Studies,https://go.drugbank.com/drugs/DB00683,Pivampicillin,PERFECT,Penicillins ,J01CA02,Access,No,β-lactam
PTH,Protionamid,PTH - Protionamid,PTH - Protionamid,Other Class,Disrupts mycolic acid synthesis (mycobacterial),Tuberculosis Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
PZA,Pyrazinamid,PZA - Pyrazinamid,PZA - Pyrazinamid,Other Class,Disrupts mycobacterial membrane potential,Tuberculosis Treatment,https://www.ncbi.nlm.nih.gov/books/NBK555886/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Other Class
ROC,Rocephin,ROC - Rocephin,ROC - Rocephin,Third-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,Brand Name Cross-Reference,https://go.drugbank.com/drugs/DB00258,Ceftriaxone,PERFECT,Third-generation-cephalosporins,J01DD04,Watch,Yes,β-lactam
ROS,Rosoxacin,ROS - Rosoxacin,ROS - Rosoxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Historical Antibiotic Data,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Rosoxacin,PERFECT,Quinolones,J01MB01,Watch,No,Fluoroquinolone
SAZ,Sulphamethoxazol,SAZ - Sulphamethoxazol,SAZ - Sulphamethoxazol,Sulfonamide,Inhibits dihydropteroate synthase,WHO Essential Medicines List,https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/essential-medicines-lists,Sulfamethoxazole ,FUZZY(0.88),Sulfonamides,J01EC01,Access,No,Sulfonamide
SFX,Sulfamethizol,SFX - Sulfamethizol,SFX - Sulfamethizol,Sulfonamide,Inhibits dihydropteroate synthase,Urinary Antiseptic Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Sulfamethizole,FUZZY(0.96),Sulfonamides,J01EB02,Access,No,Sulfonamide
SIS,Sisomycin,SIS - Sisomycin,SIS - Sisomycin,Aminoglycoside,Binds to 30S ribosomal subunit,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Sisomicin,FUZZY(0.89),Aminoglycosides,J01GB08,Watch,No,Aminoglycoside
SLN,Sulfalen,SLN - Sulfalen,SLN - Sulfalen,Sulfonamide,Inhibits dihydropteroate synthase,Historical Pharmacology,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Sulfalene,FUZZY(0.94),Sulfonamides,J01ED02,Access,No,Sulfonamide
SOX,Sulfisoxazol,SOX - Sulfisoxazol,SOX - Sulfisoxazol,Sulfonamide,Inhibits dihydropteroate synthase,Antimicrobial Agents Textbook,https://www.ncbi.nlm.nih.gov/books/NBK513297/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Sulfonamide
SPF,Sparfloxacin,SPF - Sparfloxacin,SPF - Sparfloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Sparfloxacin,PERFECT,Fluoroquinolones,J01MA09,Watch,No,Fluoroquinolone
SPM,Spiramycin,SPM - Spiramycin,SPM - Spiramycin,Macrolide,Binds to 50S ribosomal subunit,Parasitology References,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Spiramycin,PERFECT,Macrolides,J01FA02,Watch,No,Macrolide
SUL,Sulbactam,SUL - Sulbactam,SUL - Sulbactam,β-lactamase inhibitor,Inhibits β-lactamases,Antibiotic Stewardship Data,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Sulbactam,PERFECT,Beta-lactamase-inhibitors,J01CG01,Access,No,β-lactam
TFX,Trovafloxacin,TFX - Trovafloxacin,TFX - Trovafloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Withdrawn Drug Archives,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Trovafloxacin,PERFECT,Fluoroquinolones,J01MA13,Watch,No,Fluoroquinolone
TMO,Temocillin,TMO - Temocillin,TMO - Temocillin,Penicillin (β-lactam),Cell wall synthesis inhibition,EUCAST Technical Notes,https://www.eucast.org/fileadmin/src/media/PDFs/EUCAST_files/Guidance_documents/Expert_Rules_Technical_Notes_2020.pdf,Temocillin,PERFECT,Penicillins,J01CA17,Watch,No,β-lactam
TOS,Tosufloxacin,TOS - Tosufloxacin,TOS - Tosufloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Japanese Antibiotic Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Tosufloxacin,PERFECT,Fluoroquinolones,J01MA22,Watch,No,Fluoroquinolone
VOR,Voriconazol,VOR - Voriconazol,VOR - Voriconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
CTL,Ceftarolin,CTL - Ceftarolin,CTL - Ceftarolin,Fifth-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,IDSA Guidelines,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Cefazolin,FUZZY(0.84),First-generation-cephalosporins,J01DB04,Access,Yes,β-lactam
DOR,Doripenem,DOR - Doripenem,DOR - Doripenem,Carbapenem (β-lactam),Cell wall synthesis inhibition,Antimicrobial Agents Journal,https://aac.asm.org/content/63/4/e02087-18,Doripenem,PERFECT,Carbapenems,J01DH04,Watch,No,β-lactam
TLV,Telavancin,TLV - Telavancin,TLV - Telavancin,Lipoglycopeptide,Disrupts membrane potential & cell wall synthesis,Antibiotic Stewardship Review,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Telavancin,PERFECT,Glycopeptides,J01XA03,Reserve,No,Lipoglycopeptide
CZA,Ceftazidim/Avibactam,CZA - Ceftazidim + Avibactam,CZA - Ceftazidim/Avibactam,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,IDSA Recommendations,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Ceftazidime/avibactam,FUZZY(0.97),Third-generation-cephalosporins,J01DD52,Reserve,Yes,β-lactam
CZT,Ceftolozan/Tazobactam,CZT - Ceftolozan + Tazobactam,CZT - Ceftolozan/Tazobactam,β-lactam/β-lactamase inhibitor,β-lactamase inhibition + cell wall synthesis,Clinical Trials Data,https://clinicaltrials.gov/ct2/show/NCT03426709,Ceftolozane/tazobactam,FUZZY(0.98),Fifth-generation cephalosporins,J01DI54,Reserve,Yes,β-lactam
ORI,Oritavancin,ORI - Oritavancin,ORI - Oritavancin,Lipoglycopeptide,Inhibits cell wall synthesis & disrupts membrane,Skin Infection Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Oritavancin,PERFECT,Glycopeptides,J01XA05,Reserve,No,Lipoglycopeptide
BPR,Ceftobiprol,BPR - Ceftobiprol,BPR - Ceftobiprol,Fifth-gen cephalosporin (β-lactam),Cell wall synthesis inhibition,EUCAST Technical Notes,https://www.eucast.org/fileadmin/src/media/PDFs/EUCAST_files/Guidance_documents/Expert_Rules_Technical_Notes_2020.pdf,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,β-lactam
DAL,Dalbavancin,DAL - Dalbavancin,DAL - Dalbavancin,Lipoglycopeptide,Inhibits cell wall synthesis,Skin Infection Protocols,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Dalbavancin,PERFECT,Glycopeptides,J01XA04,Reserve,No,Lipoglycopeptide
TZD,Tedizolid,TZD - Tedizolid,TZD - Tedizolid,Oxazolidinone,Binds to 50S ribosomal subunit,Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Tedizolid,PERFECT,Oxazolidinones,J01XX11,Reserve,Yes (therapeutic alternative to linezolid (EML)),Oxazolidinone
MIC,Micafungin,MIC - Micafungin,MIC - Micafungin,Echinocandin,Inhibits β-(1,3)-D-glucan synthase (fungal),Antifungal Guidelines,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Echinocandin
SPC,Spectinomycin,SPC - Spectinomycin,SPC - Spectinomycin,Aminocyclitol,Binds to 30S ribosomal subunit,Sexually Transmitted Infection Guides,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Spectinomycin,PERFECT,Aminocyclitols,J01XX04,Access,Yes,Aminocyclitol
ANI,Anidulafungin,ANI - Anidulafungin,ANI - Anidulafungin,Echinocandin,Inhibits β-(1,3)-D-glucan synthase (fungal),Antifungal Drug Database,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Echinocandin
IVC,Isavuconazol,IVC - Isavuconazol,IVC - Isavuconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
POS,Posaconazol,POS - Posaconazol,POS - Posaconazol,Azole,Inhibits ergosterol synthesis (fungal),Antifungal Drug Database,https://www.ncbi.nlm.nih.gov/books/NBK556136/,NO MATCH,UNMATCHED,Not Set,Not Set,Not Set,Not Set,Azole
FID,Fidaxomicin,FID - Fidaxomicin,FID - Fidaxomicin,Macrocyclic,Inhibits RNA polymerase (narrow-spectrum),C. difficile Treatment Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Fidaxomicin,PERFECT,Macrolides,A07AA12,Watch,No,Macrocyclic
OMA,Omadacyclin,OMA - Omadacyclin,OMA - Omadacyclin,Tetracycline derivative,Binds to 30S ribosomal subunit,Novel Antibiotic Studies,https://www.ncbi.nlm.nih.gov/books/NBK555886/,Omadacycline,FUZZY(0.96),Tetracyclines,J01AA15,Reserve,No,Tetracycline derivative
CCO,Cefiderocol,CCO - Cefiderocol,CCO - Cefiderocol,Siderophore cephalosporin (β-lactam),Iron transport-mediated cell wall inhibition,IDSA Emerging Pathogens,https://www.idsociety.org/practice-guideline/guidelines-by-topic/,Cefiderocol,PERFECT,Other-cephalosporins,J01DI04,Reserve,Yes,β-lactam
PLA,Plazomicin,PLA - Plazomicin,PLA - Plazomicin,Aminoglycoside,Binds to 30S ribosomal subunit (resistance-modified),Antibiotic Resistance Studies,https://www.ncbi.nlm.nih.gov/books/NBK513297/,Plazomicin,PERFECT,Aminoglycosides,J01GB14,Reserve,Yes,Aminoglycoside
DEL,Delafloxacin,DEL - Delafloxacin,DEL - Delafloxacin,Fluoroquinolone,Inhibits DNA gyrase/topoisomerase IV,Skin Infection Protocols,https://www.ncbi.nlm.nih.gov/books/NBK553158/,Delafloxacin,PERFECT,Fluoroquinolones,J01MA23,Watch,No,Fluoroquinolone
LEF,Lefamulin,LEF - Lefamulin,LEF - Lefamulin,Pleuromutilin,Binds to 50S ribosomal subunit,Community-Acquired Pneumonia Guidelines,https://www.ncbi.nlm.nih.gov/books/NBK554560/,Lefamulin,PERFECT,Pleuromutilin,J01XX12,Reserve,No,Pleuromutilin
PIC,Pivmecillinam,PIC - Pivmecillinam,PIC - Pivmecillinam,Penicillin (β-lactam),Prodrug of mecillinam (cell wall synthesis),EUCAST UTI Guidelines,https://www.eucast.org/guidelines-documents/,Pivmecillinam,PERFECT,Penicillins ,J01CA08,Access,No,β-lactam
