year;31.12.2023;31.12.2023;31.12.2023;31.12.2022;31.12.2022;31.12.2022;31.12.2021;31.12.2021;31.12.2021;31.12.2020;31.12.2020;31.12.2020;31.12.2019;31.12.2019;31.12.2019
total, male, female;Insgesamt;m’┐Įnnlich;weiblich;Insgesamt;m’┐Įnnlich;weiblich;Insgesamt;m’┐Įnnlich;weiblich;Insgesamt;m’┐Įnnlich;weiblich;Insgesamt;m’┐Įnnlich;weiblich
Schleswig-Holstein;2965691;1451443;1514248;2953270;1443269;1510001;2922005;1431064;1490941;2910875;1425649;1485226;2903773;1422883;1480890
Hamburg;1910160;936740;973420;1892122;925616;966506;1853935;907682;946253;1852478;906933;945545;1847253;903974;943279
Niedersachsen;8161981;4026230;4135751;8140242;4009822;4130420;8027031;3962947;4064084;8003421;3951456;4051965;7993608;3947571;4046037
Bremen;691703;341986;349717;684864;338233;346631;676463;334319;342144;680130;336390;343740;681202;337001;344201
Nordrhein-Westfalen;18190422;8930892;9259530;18139116;8890200;9248916;17924591;8795533;9129058;17925570;8794888;9130682;17947221;8805974;9141247
Hessen;6420729;3170839;3249890;6391360;3151158;3240202;6295017;3108589;3186428;6293154;3108408;3184746;6288080;3105260;3182820
Rheinland-Pfalz;4174311;2066181;2108130;4159150;2054254;2104896;4106485;2030323;2076162;4098391;2026105;2072286;4093903;2023004;2070899
Baden-W’┐Įrttemberg;11339260;5633643;5705617;11280257;5595424;5684833;11124642;5526110;5598532;11103043;5516636;5586407;11100394;5516440;5583954
Bayern;13435062;6664456;6770606;13369393;6620203;6749190;13176989;6532222;6644767;13140183;6512595;6627588;13124737;6507691;6617046
Saarland;994424;489045;505379;992666;487101;505565;982348;482439;499909;983991;483001;500990;986887;484419;502468
Berlin;3782202;1860115;1922087;3755251;1843196;1912055;3677472;1807826;1869646;3664088;1802038;1862050;3669491;1804273;1865218
Brandenburg;2581667;1271103;1310564;2573135;1265151;1307984;2537868;1250325;1287543;2531071;1248050;1283021;2521893;1243931;1277962
Mecklenburg-Vorpommern;1629464;801048;828416;1628378;799695;828683;1611160;793443;817717;1610774;793537;817237;1608138;792612;815526
Sachsen;4089467;2015937;2073530;4086152;2010537;2075615;4043002;1992884;2050118;4056941;1999026;2057915;4071971;2006722;2065249
Sachsen-Anhalt;2180448;1072906;1107542;2186643;1073711;1112932;2169253;1067143;1102110;2180684;1072595;1108089;2194782;1079862;1114920
Th’┐Įringen;2122335;1050971;1071364;2126846;1051482;1075364;2108863;1043936;1064927;2120237;1049212;1071025;2133378;1055996;1077382
