Pathogen,Short Name
Escherichia coli,Esche. coli
Streptococcus constellatus,Strep. constellatus
Klebsiella oxytoca,Klebs. oxytoca
Proteus mirabilis,Prote. mirabilis
Staphylococcus pettenkoferi,Staph. pettenkoferi
Klebsiella pneumoniae,Klebs. pneumoniae
Pseudomonas fluorescens,Pseud. fluorescens
Staphylococcus aureus,Staph. aureus
Pseudomonas aeruginosa,Pseud. aeruginosa
Rothia dentocariosa,Rothia dentocariosa
Anaerococcus prevotii,Anaer. prevotii
Citrobacter freundii,Citro. freundii
Staphylokokken koagulase-negativ,Staph. coagulase negative
Porphyromonas somerae,Porph. somerae
Clostridioides (früher: Clostridium) difficile,Clost. difficile
Bacteroides vulgatus,Bacte. vulgatus
Streptococcen alpha-hämolysierend / Viridansgruppe,Strep. alpha-hemolytic
Streptococcen Gruppe B / S. agalactiae,Strep. Group B/S. agalactiae
Streptococcus anginosus,Strep. anginosus
Leclercia spp.,Lecle. spp.
Acinetobacter lwoffi,Acine. lwoffi
Staphylococcus epidermidis,Staph. epidermidis
Streptococcus dysgalactiae,Strep. dysgalactiae
Lactobacillus jensenii,Lacto. jensenii
Staphylococcus lugdunensis,Staph. lugdunensis
Staphylococcus pasteuri,Staph. pasteuri
Citrobacter koseri,Citro. koseri
Streptococcus vestibularis,Strep. vestibularis
Bacteroides fragilis,Bacte. fragilis
Klebsiella (früher: Enterobacter) aerogenes,Klebs. aerogenes
Lactobacillus crispatus,Lacto. crispatus
Neisseria subflava,Neiss. subflava
Acinetobacter baumannii complex,Acine. baumannii complex
Flavimonas oryzihabitans,Flavi. oryzihabitans
Morganella morganii,Morga. morganii
Cutibacterium acnes,Cutiba. acnes
Corynebacterium spp.,Coryn. spp.
Prevotella disiens,Prevo. disiens
Lactobacillus spp.,Lacto. spp.
Citrobacter amalonaticus,Citro. amalonaticus
Finegoldia magna,Fineg. magna
Proteus hauseri,Prote. hauseri
Corynebacterium striatum,Coryn. striatum
Streptococcus mitis,Strep. mitis
Salmonella oranienburg,Salmo. oranienburg
Corynebacterium amycolatum,Coryn. amycolatum
Enterobacter hormaechei,Enter. hormaechei
Mycoplasma hominis,Mycop. hominis
Enterobacter cloacae,Enter. cloacae
Enterococcus faecalis,Enter. faecalis
Ureaplasma urealyticum,Ureap. urealyticum
Campylobacter jejuni,Campy. jejuni
Stenotrophomonas maltophilia,Steno. maltophilia
Providencia rettgeri,Provi. rettgeri
Streptococcus intermedius,Strep. intermedius
Enterococcus avium,Enter. avium
Streptococcus oralis,Strep. oralis
Bacteroides spp.,Bacte. spp.
Corynebacterium pilosum,Coryn. pilosum
Gardnerella vaginalis,Gardn. vaginalis
Parvimonas micra,Parvi. micra
Haemophilus influenzae,Haemo. influenzae
Serratia marcescens,Serra. marcescens
Staphylococcus condimenti,Staph. condimenti
Lactococcus spp.,Lacto. spp.
Clostridium perfringens,Clost. perfringens
Bacillus circulans,Bacil. circulans
Pediococcus spp.,Pedio. spp.
Prevotella denticola,Prevo. denticola
Citrobacter spp.,Citro. spp.
Parabacteroides distasonis,Parab. distasonis
Prevotella bivia,Prevo. bivia
Trueperella pyogenes,Truep. pyogenes
Bacillus spp.,Bacillus spp.
Streptococcen Gruppe A / S. pyogenes,Strep. Gruppe A/S. pyogenes
Rothia mucilaginosa,Rothia mucilaginosa
Prevotella spp.,Prevo. spp.
Bacteroides ovatus,Bacte. ovatus
Staphylococcus spp.,Staph. spp.
Anaerococcus murdochii,Anaer. murdochii
Leptotrichia buccalis,Lepto. buccalis
Streptococcus salivarius,Strep. salivarius
Acinetobacter johnsonii,Acine. johnsonii
Morganella spp.,Morga. spp.
Haemophilus parainfluenzae,Haemo. parainfluenzae
Enterococcus durans,Enter. durans
Ureaplasma spp.,Ureap. spp.
Proteus vulgaris,Prote. vulgaris
Lactobacillus acidophilus,Lacto. acidophilus
Prevotella bergensis,Prevotella bergensis
Burkholderia spp.,Burkholderia spp.
Staphylococcus saprophyticus,Staphylococcus saprophyticus
Pseudomonas aureofaciens,Pseudomonas aureofaciens
Globicatella sanguinis,Globicatella sanguinis
Clostridium difficile Toxinnachweis,Clostridium difficile Toxinnachweis
Pantoea agglomerans,Pantoea agglomerans
Fusobacterium nucleatum,Fusobacterium nucleatum
Streptococcus parasanguinis,Streptococcus parasanguinis
Sphingomonas paucimobilis,Sphin. paucimobilis
Lactobacillus salivarius,Lacto. salivarius
Corynebacterium aurimucosum,Coryn. aurimucosum
Cutibacterium avidum,Cutibacterium avidum
Acinetobacter junii,Acinetobacter junii
Dermabacter hominis,Dermabacter hominis
Porphyromonas asaccharolytica,Porphyromonas asaccharolytica
Peptostreptococcus spp.,Peptostreptococcus spp.
Actinomyces neuii,Actinomyces neuii
Granulicatella adiacens,Granulicatella adiacens
Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron
Corynebacterium minutissimum,Corynebacterium minutissimum
Rothia spp.,Rothia spp.
Streptococcus gallolyticus,Streptococcus gallolyticus
Achromobacter xylosoxidans,Achromobacter xylosoxidans
Actinomyces spp.,Actinomyces spp.
Kluyvera ascorbata,Kluyvera ascorbata
Haemophilus parahaemolyticus,Haemophilus parahaemolyticus
Trueperella bernardiae,Trueperella bernardiae
Enterococcus faecium,Enterococcus faecium
Flavobacterium spp.,Flavobacterium spp.
Streptococcus spp.,Streptococcus spp.
Citrobacter sedlakii,Citrobacter sedlakii
Bacillus cereus,Bacillus cereus
Haemophilus haemolyticus,Haemophilus haemolyticus
Moraxella catarrhalis,Moraxella catarrhalis
Bacteroides ureolyticus,Bacteroides ureolyticus
Enterococcus gallinarium,Enterococcus gallinarium
Pseudomonas spp.,Pseudomonas spp.
Haemophilus spp.,Haemophilus spp.
Hafnia alvei,Hafnia alvei
Bacteroides uniformis,Bacteroides uniformis
Micrococcus luteus,Micrococcus luteus
Streptococcus sanguinis,Streptococcus sanguinis
Lactobacillus delbrueckii,Lactobacillus delbrueckii
Aeromonas caviae,Aeromonas caviae
Anaerococcus vaginalis,Anaerococcus vaginalis
Neisseria mucosa,Neisseria mucosa
Aerococcus urinae,Aerococcus urinae
Acinetobacter spp.,Acinetobacter spp.
Brevibacterium spp.,Brevibacterium spp.
Lactobacillus homochiochii,Lactobacillus homochiochii
Corynebacterium jeikeium,Corynebacterium jeikeium
Campylobacter spp.,Campylobacter spp.
Corynebacterium afermentans,Corynebacterium afermentans
Empedobacter brevis,Empedobacter brevis
Corynebacterium propinquum,Corynebacterium propinquum
Pasteurella multocida,Pasteurella multocida
Propionibacterium spp.,Propionibacterium spp.
Peptoniphilus harei,Peptoniphilus harei
Eubacterium tenue,Eubacterium tenue
Moraxella phenylpyruvica,Moraxella phenylpyruvica
Moraxella osloensis,Moraxella osloensis
Streptococcus pneumoniae,Streptococcus pneumoniae
Raoultella planticola,Raoultella planticola
Alcaligenes spp.,Alcaligenes spp.
Alcaligenes faecalis,Alcaligenes faecalis
Prevotella melaninogenica,Prevotella melaninogenica
Yersinia enterocolitica,Yersinia enterocolitica
Actinomyces turicensis,Actinomyces turicensis
Fusobacterium necrophorum,Fusobacterium necrophorum
Peptostreptococcus magnus,Peptostreptococcus magnus
Micrococcus spp.,Micrococcus spp.
Aerococcus viridans,Aerococcus viridans
Pseudomonas oleovorans,Pseudomonas oleovorans
Providencia stuartii,Providencia stuartii
Ochrobactrum anthropi,Ochrobactrum anthropi
Enterococcus spp.,Enterococcus spp.
Proteus penneri,Proteus penneri
Streptococcus equi ssp zooepidemicus,Streptococcus equi ssp zooepidemicus
Bacillus megaterium,Bacillus megaterium
Raoultella ornithinolytica,Raoultella ornithinolytica
Corynebacterium tuberculostearicum,Corynebacterium tuberculostearicum
Serratia liquefaciens,Serratia liquefaciens
Lactobacillus sake,Lactobacillus sake
Neisseria spp.,Neisseria spp.
Enterobacter spp.,Enterobacter spp.
Corynebacterium coyleae,Corynebacterium coyleae
Porphyromonas spp.,Porphyromonas spp.
Pseudomonas putida,Pseudomonas putida
Clostridium symbiosum,Clostridium symbiosum
Peptostreptococcus anaerobius,Peptostreptococcus anaerobius
Fusobacterium spp.,Fusobacterium spp.
Streptococcus lutetiensis,Streptococcus lutetiensis
Arthrobacter spp.,Arthrobacter spp.
Enterococcus casseliflavus,Enterococcus casseliflavus
Clostridium spp.,Clostridium spp.
Pseudomonas stutzeri,Pseudomonas stutzeri
Corynebakterium glucuronolyticum,Corynebakterium glucuronolyticum
Enterococcus hirae,Enterococcus hirae
Actinobacillus spp.,Actinobacillus spp.
Bacteroides pyogenes,Bacteroides pyogenes
Peptoniphilus spp.,Peptoniphilus spp.
Peptoniphilus asaccharolyticus,Peptoniphilus asaccharolyticus
Staphylococcus capitis,Staphylococcus capitis
Staphylococcus haemolyticus,Staphylococcus haemolyticus
Staphylococcus auricularis,Staphylococcus auricularis
Escherichia coli (EPEC),Escherichia coli (EPEC)
Staphylococcus caprae,Staphylococcus caprae
Veillonella atypica,Veillonella atypica
Aerococcus sanguinicola,Aerococcus sanguinicola
Haemophilus sputorum,Haemophilus sputorum
Acinetobacter ursingii,Acinetobacter ursingii
Streptococcen Gruppe F,Streptococcen Gruppe F
Staphylococcus warneri,Staphylococcus warneri
Staphylococcus hominis,Staphylococcus hominis
Streptococcen (beta-hämolysierend),Streptococcen (beta-hämolysierend)
Facklamia hominis,Facklamia hominis
Prevotella buccae,Prevotella buccae
Streptococcus bovis,Streptococcus bovis
Staphylococcus simulans,Staphylococcus simulans
Peptoniphilus indolicus,Peptoniphilus indolicus
Bifidobacterium adolescentis,Bifidobacterium adolescentis
Corynebacterium pseudodiphteriticum,Corynebacterium pseudodiphteriticum
Peptoniphilus lacrimalis,Peptoniphilus lacrimalis
Actinotignum schaalii,Actinotignum schaalii
Helicobacter pylori,Helicobacter pylori
Corynebacterium lipophile_group_F1,Corynebacterium lipophile_group_F1
Bifidobacterium breve,Bifidobacterium breve
Turicella otitidis,Turicella otitidis
Corynebacterium confusum,Corynebacterium confusum
Clostridium innocuum,Clostridium innocuum
Salmonella Gruppe B,Salmonella Gruppe B
Klebsiella variicola,Klebsiella variicola
Neisseria macacae,Neisseria macacae
Escherichia coli (EHEC),Escherichia coli (EHEC)
Parabacteroides merdae,Parabacteroides merdae
Helcococcus spp.,Helcococcus spp.
Streptococcen Gruppe G,Streptococcen Gruppe G
Peptoniphilus gorbachii,Peptoniphilus gorbachii
Aeromonas veronii,Aeromonas veronii
Corynebacterium accolens,Corynebacterium accolens
Brevibacterium ravenspurgense,Brevibacterium ravenspurgense
Anaerobe Bakterien,Anaerobe Bakterien
Campylobacter coli,Campylobacter coli
Sphingobium yanoikuyae,Sphingobium yanoikuyae
Neisseria gonorrhoeae,Neisseria gonorrhoeae
Bifidobacterium infantis,Bifidobacterium infantis
Sutterella wadsworthensis,Sutterella wadsworthensis
Acinetobacter haemolyticus,Acinetobacter haemolyticus
Corynebacterium simulans,Corynebacterium simulans
Streptococcen Gruppe C,Streptococcen Gruppe C
Prevotella amnii,Prevotella amnii
Prevotella nigrescens,Prevotella nigrescens
Staphylococcus intermedius,Staphylococcus intermedius
Lactococcus garvieae,Lactococcus garvieae
Salmonella typhimurium,Salmonella typhimurium
Actinobaculum massiliense,Actinobaculum massiliense
Moraxella spp.,Moraxella spp.
Helcococcus kunzii,Helcococcus kunzii
Streptococcus urinalis,Streptococcus urinalis
Anaerococcus spp.,Anaerococcus spp.
Staphylococcus saccharolyticus,Staphylococcus saccharolyticus
Staphylococcus piscifermentans,Staphylococcus piscifermentans
Moraxella nonliquefaciens,Moraxella nonliquefaciens
Bacteroides caccae,Bacteroides caccae
Gram positive Kokken,Gram positive Kokken
Acinetobacter radioresistens,Acinetobacter radioresistens
Actinotignum sanguinis,Actinotignum sanguinis
Bacteroides salyersiae,Bacteroides salyersiae
Peptoniphilus olsenii,Peptoniphilus olsenii
Bacillus pumilis,Bacillus pumilis
Proteus spp.,Proteus spp.
Aerococcus spp.,Aerococcus spp.
Streptococcen (nicht hämolysierend),Streptococcen (nicht hämolysierend)
Streptococcus gordonii,Streptococcus gordonii
Salmonella montevideo,Salmonella montevideo
Staphylococcus nepalensis,Staphylococcus nepalensis
Enterobacter asburiae,Enterobacter asburiae
Staphylococcus schleiferi,Staphylococcus schleiferi
Klebsiella spp.,Klebsiella spp.
Listeria monocytogenes,Listeria monocytogenes
Lactobacillus casei,Lactobacillus casei
Klebsiella ozaenae,Klebsiella ozaenae
Achromobacter denitrificans,Achromobacter denitrificans
Actinomyces odontolyticus,Actinomyces odontolyticus
Citrobacter braakii,Citrobacter braakii
Burkholderia cepacia,Burkholderia cepacia
Facklamia spp.,Facklamia spp.
Lactobacillus rhamnosus,Lactobacillus rhamnosus
Granulicatella spp.,Granulicatella spp.
Aeromonas hydrophila,Aeromonas hydrophila
Actinobaculum species,Actinobaculum species
Leclercia adecarboxylata,Leclercia adecarboxylata
Serratia rubidaea,Serratia rubidaea
Neisseria flavescens,Neisseria flavescens
Chryseobacterium indologenes,Chryseobacterium indologenes
Pseudomonas alcaligenes,Pseudomonas alcaligenes
Streptococcus thermophilus,Streptococcus thermophilus
Fusobacterium naviforme,Fusobacterium naviforme
Enterococcus raffinosus,Enterococcus raffinosus
Yersinia spp.,Yersinia spp.
Treponema pallidum,Treponema pallidum
Aerobe Bakterien,Aerobe Bakterien
Chlamydia trachomatis,Chlamydia trachomatis
Bordetella parapertussis,Bordetella parapertussis
Citrobacter farmeri,Citrobacter farmeri
Hafnia spp.,Hafnia spp.
Mycobacterium spp.,Mycobacterium spp.
Vibrio alginolyticus,Vibrio alginolyticus
Clostridium paraputrificum,Clostridium paraputrificum
Gram positive Stäbchen,Gram positive Stäbchen
Eggerthella lenta,Eggerthella lenta
Streptococcus mutans,Streptococcus mutans
Yersinia frederiksenii,Yersinia frederiksenii
Treponema denticola,Treponema denticola
Gram negative Stäbchen,Gram negative Stäbchen
Shigella spp.,Shigella spp.
Pantoea spp.,Pantoea spp.
Kocuria kristinae,Kocuria kristinae
Mycobacterium intracellulare,Mycobacterium intracellulare
Salmonella enteritidis,Salmonella enteritidis
Escherichia hermanii,Escherichia hermanii
Pseudoglutamicibacter cumminsii,Pseudoglutamicibacter cumminsii
Salmonella stanley,Salmonella stanley
Corynebacterium riegelii,Corynebacterium riegelii
Salmonella muenchen,Salmonella muenchen
Eikenella corrodens,Eikenella corrodens
Pluralibacter gergoviae,Pluralibacter gergoviae
Myroides spp.,Myroides spp.
Citrobacter youngae,Citrobacter youngae
Lactococcus garviae,Lactococcus garviae
Aggregatibacter actinomycetemcomitans,Aggregatibacter actinomycetemcomitans
Stomatococcus spp.,Stomatococcus spp.
Mycobacterium avium complex,Mycobacterium avium complex
Oligella urethralis,Oligella urethralis
Streptococcus infantarius,Streptococcus infantarius
Corynebacterium durum,Corynebacterium durum
Gemella morbillorum,Gemella morbillorum
Serratia odorifera,Serratia odorifera
Acinetobacter calcoaceticus,Acinetobacter calcoaceticus
Achromobacter spp.,Achromobacter spp.
Escherichia coli (EIEC),Escherichia coli (EIEC)
Enterococcus hirea,Enterococcus hirea
Mycobacterium tuberculosis,Mycobacterium tuberculosis
Mycoplasma spp.,Mycoplasma spp.
Salmonella spp.,Salmonella spp.
Paracoccus yeei,Paracoccus yeei
Kocuria rosea,Kocuria rosea
Paeniclostridium sordellii,Paeniclostridium sordellii
Arcanobacterium haemolyticum,Arcanobacterium haemolyticum
Mycobacterium chelonae,Mycobacterium chelonae
Mycobacterium tuberculosis complex,Mycobacterium tuberculosis complex
Escherichia coli (ETEC),Escherichia coli (ETEC)
Salmonella enterica,Salmonella enterica
Shigella flexneri,Shigella flexneri
Aeromonas salmonicida,Aeromonas salmonicida
Staphylococcus cohnii,Staphylococcus cohnii
Salmonella kentucky,Salmonella kentucky
Corynebacterium urealyticum,Corynebacterium urealyticum
Lactobacillus gasseri,Lactobacillus gasseri
Delftia acidovorans,Delftia acidovorans
Escherichia coli (EAEC),Escherichia coli (EAEC)
Mycobacterium africanum,Mycobacterium africanum
Lactococcus lactis,Lactococcus lactis
Leuconostoc spp.,Leuconostoc spp.
Bacillus subtilis,Bacillus subtilis
Veillonella spp.,Veillonella spp.
Chryseomonas luteola,Chryseomonas luteola
Neisseria meningitidis,Neisseria meningitidis
Lelliottia amnigena,Lelliottia amnigena
Gemella bergeri,Gemella bergeri
Pasteurella spp.,Pasteurella spp.
Acinetobacter bereziniae,Acinetobacter bereziniae
Veillonella dispar,Veillonella dispar
Bacteroides cellulosilyticus,Bacteroides cellulosilyticus
Mycobacterium avium,Mycobacterium avium
Vagococcus fluvialis,Vagococcus fluvialis
Actinomyces europaeus,Actinomyces europaeus
Eubacterium limosum,Eubacterium limosum
Bifidobacterium spp.,Bifidobacterium spp.
Clostridium ramosum,Clostridium ramosum
Actinomyces urogenitalis,Actinomyces urogenitalis
Micrococcus lylae,Micrococcus lylae
Serratia fonticola,Serratia fonticola
Enterococcus mundtii,Enterococcus mundtii
Brevundimonas diminuta,Brevundimonas diminuta
Aeromonas spp.,Aeromonas spp.
Sphingobacterium spp.,Sphingobacterium spp.
Kluyvera spp.,Kluyvera spp.
Gemella spp.,Gemella spp.
Providencia spp.,Providencia spp.
Salmonella berta,Salmonella berta
Mycobacterium kansasii,Mycobacterium kansasii
Mycobacterium fortuitum,Mycobacterium fortuitum
Abiotrophia defectiva,Abiotrophia defectiva
Bordetella trematum,Bordetella trematum
Prevotella intermedia,Prevotella intermedia
Kingella kingae,Kingella kingae
Actinomyces viscosus,Actinomyces viscosus
Aggregatibacter aphrophilus,Aggregatibacter aphrophilus
Moraxella lacunata,Moraxella lacunata
Staphylococcus sciuri,Staphylococcus sciuri
Methylobacillus spp.,Methylobacillus spp.
Rhodococcus kroppenstedtii,Rhodococcus kroppenstedtii
Paracoccus spp.,Paracoccus spp.
Bacillus simplex,Bacillus simplex
Staphylococcus vitulinus,Staphylococcus vitulinus
Porphyromonas gingivalis,Porphyromonas gingivalis
Rhizobium spp.,Rhizobium spp.
Pseudomonas mendocina,Pseudomonas mendocina
Morganella morganii ssp. sibonii,Morganella morganii ssp. sibonii
Paraclostridium bifermentans,Paraclostridium bifermentans
Streptococcus equisimilis,Streptococcus equisimilis
Kocuria varians,Kocuria varians
Prevotella oralis,Prevotella oralis
Peptococcus spp.,Peptococcus spp.
Enterobacter cancerogenus,Enterobacter cancerogenus
Bacteroides stercoris,Bacteroides stercoris
Burkholderia gladioli,Burkholderia gladioli
Gram-labile Stäbchen,Gram-labile Stäbchen
Corynebakterium macginleyi,Corynebakterium macginleyi
Enterobacter intermedium,Enterobacter intermedium
Shewanella putrefaciens,Shewanella putrefaciens
Lactobacillus fermentum,Lactobacillus fermentum
Streptococcus pasteurianus,Streptococcus pasteurianus
Kocuria spp.,Kocuria spp.
Gardnerella spp.,Gardnerella spp.
Cronobacter sakazakii,Cronobacter sakazakii
Myroides odoratus,Myroides odoratus
Prevotella corporis,Prevotella corporis
Fusobacterium varium,Fusobacterium varium
Acinetobacter guillouiae,Acinetobacter guillouiae
Bordetella pertussis,Bordetella pertussis
Streptococcus equinus,Streptococcus equinus
Eubacterium lentum,Eubacterium lentum
Haemophilus paraphrohaemolyticus,Haemophilus paraphrohaemolyticus
Anaerococcus lactolyticus,Anaerococcus lactolyticus
Mycobacterien atypische,Mycobacterien atypische
Bilophilia wadsworthia,Bilophilia wadsworthia
Mycobacterium gordonae,Mycobacterium gordonae
Streptococcus zooepidemicus,Streptococcus zooepidemicus
Serratia spp.,Serratia spp.
Mycobacterium abscessus,Mycobacterium abscessus
Prevotella timonensis,Prevotella timonensis
Neisseria flava,Neisseria flava
Staphylococcus lentus,Staphylococcus lentus
Streptococcus canis,Streptococcus canis
Bacillus licheniformis,Bacillus licheniformis
Paenibacillus provencensis,Paenibacillus provencensis
Aeromonas sobria,Aeromonas sobria
Escherichia fergusonii,Escherichia fergusonii
Staphylococcus equorum,Staphylococcus equorum
Clostridium cadaveris,Clostridium cadaveris
Clostridium clostridiiforme,Clostridium clostridiiforme
Staphylococcus pseudintermedius,Staphylococcus pseudintermedius
Pasteurella dagmatis,Pasteurella dagmatis
Prevotella oris,Prevotella oris
Pseudomonas mosselii,Pseudomonas mosselii
Lysinibacillus fusiformis,Lysinibacillus fusiformis
Nocardia spp.,Nocardia spp.
Fusobacterium periodonticum,Fusobacterium periodonticum
Bacillus firmus,Bacillus firmus
Legionella pneumophila,Legionella pneumophila
Neisseria canis,Neisseria canis
Cellulomonas spp.,Cellulomonas spp.
Veillonella parvula,Veillonella parvula
Pseudopropionibacterium propionicum,Pseudopropionibacterium propionicum
Bordetella bronchiseptica,Bordetella bronchiseptica
Mycoplasma pneumoniae,Mycoplasma pneumoniae
Neisseria weaveri,Neisseria weaveri
Streptococcus alactolyticus,Streptococcus alactolyticus
Gemella haemolysans,Gemella haemolysans
Streptococcus cristatus,Streptococcus cristatus
Pediococcus pentosaceus,Pediococcus pentosaceus
Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis
Streptococcus suis,Streptococcus suis
Capnocytophagia spp.,Capnocytophagia spp.
Bordetella spp.,Bordetella spp.
Lactobacillus paracasei,Lactobacillus paracasei
Corynebacterium bovis,Corynebacterium bovis
Corynebacterium singulare,Corynebacterium singulare
Enterobacterales (früher: Enterobacteriaceae),Enterobacterales (früher: Enterobacteriaceae)
Corynebacterium diphteriae,Corynebacterium diphteriae
Capnocytophagia sputigena,Capnocytophagia sputigena
Actinomyces naeslundii,Actinomyces naeslundii
Streptococcus constellatus ssp pharyngis,Streptococcus constellatus ssp pharyngis
Streptococcus uberis,Streptococcus uberis
Globicatella spp.,Globicatella spp.
